catalog_event_id,event_date,magnitude,depth_km
201411052006,2014-11-04 18:05:38-08,3,5
201411062049,2014-11-06 04:15:33-08,3.6,0
466470,2014-11-06 05:43:00-08,3.11,0
201411072087,2014-11-07 12:08:51-08,3.2,5.88
201411082011,2014-11-07 17:47:43-08,3,1.59
201411082038,2014-11-08 01:28:00-08,3,5.26
201411082041,2014-11-08 02:10:18-08,3,6.37
201411092002,2014-11-08 16:35:15-08,3.3,11.19
201411092055,2014-11-09 10:39:54-08,3.1,5
201411102055,2014-11-10 06:11:12-08,3.5,2.29
201411102062,2014-11-10 08:18:17-08,3.1,0
201411112040,2014-11-11 04:57:10-08,3.3,0.34
201411112045,2014-11-11 06:09:41-08,3.5,5.17
201411112050,2014-11-11 07:16:30-08,3.3,3.31
201411122065,2014-11-12 13:40:00-08,4.9,4.03
201411112075,2014-11-11 15:17:11-08,3,6.81
201411122064,2014-11-12 13:37:11-08,3.1,5.37
72346396,2014-11-14 01:42:45-08,3.18,7.69
201411142035,2014-11-14 02:00:23-08,3.3,169.8
201411132059,2014-11-13 09:29:30-08,3.1,0
201411132005,2014-11-12 17:28:31-08,3.6,3.08
201411152085,2014-11-15 02:18:13-08,3.8,6.4
201411152105,2014-11-15 05:39:57-08,3.4,6.2
201411162035,2014-11-16 00:59:12-08,3.2,5
201411162030,2014-11-15 23:26:40-08,3.4,4.74
201411172010,2014-11-16 18:21:01-08,3.1,5.57
201411162092,2014-11-16 14:41:49-08,3.3,2.81
201411172097,2014-11-17 12:40:52-08,3,5
201411182094,2014-11-18 13:43:55-08,3.4,5
72350151,2014-11-19 22:21:27-08,3.64,5.92
201411202041,2014-11-20 10:04:32-08,3,5.08
201411202027,2014-11-20 02:25:31-08,3.8,5
201411222044,2014-11-22 11:33:00-08,3.2,82.6
468795,2014-11-21 02:12:29-08,3,2
201411212037,2014-11-21 05:03:42-08,3.3,5.47
201411212043,2014-11-21 06:56:17-08,3,4.46
201411232005,2014-11-22 19:15:47-08,3.3,2.83
201411222007,2014-11-21 18:53:04-08,3,1.13
201411232056,2014-11-23 13:59:40-08,3.1,4.98
201411252026,2014-11-25 01:19:18-08,3.5,11.86
201411262031,2014-11-26 06:56:40-08,3.3,5.31
469953,2014-11-29 03:30:07-08,3.35,10.93
201411302008,2014-11-29 21:52:23-08,3.4,2.81
201411302009,2014-11-29 22:59:56-08,3.8,7.85
201412012024,2014-11-30 21:57:37-08,4.7,5
201412012051,2014-12-01 09:57:28-08,3.3,8.5
201412012029,2014-11-30 23:44:06-08,3,5
201412022058,2014-12-02 12:10:48-08,3.4,11.4
201412032011,2014-12-02 19:13:54-08,3,5.55
201412022036,2014-12-02 04:40:13-08,3,7.78
201412022032,2014-12-02 04:04:29-08,3.4,7.1
201412032036,2014-12-03 05:33:33-08,3.7,6.66
201412042045,2014-12-04 03:59:43-08,3.1,4.46
201412042040,2014-12-04 01:47:43-08,3.1,5
201412042033,2014-12-03 22:39:43-08,3.2,5
201412042038,2014-12-04 00:38:29-08,3,7.67
201412052055,2014-12-05 08:22:07-08,3,148.9
201412072001,2014-12-06 16:12:34-08,3.4,111.2
201412062023,2014-12-05 23:04:22-08,3.2,5.8
201412082039,2014-12-08 06:15:54-08,3.3,4.17
201412072073,2014-12-07 12:57:22-08,3,5
201412092021,2014-12-08 22:28:33-08,3.7,6.04
201412102019,2014-12-09 22:39:25-08,3.1,5.65
201412102031,2014-12-10 02:09:13-08,3.1,4.87
201412102055,2014-12-10 08:47:45-08,3,5.32
201412122052,2014-12-12 11:48:36-08,3.3,5.09
201412142014,2014-12-13 21:01:42-08,3,6.57
201412142055,2014-12-14 09:26:51-08,3.8,6.43
201412142064,2014-12-14 13:07:13-08,3.1,6.65
201412142065,2014-12-14 13:18:20-08,4,4.68
201412182029,2014-12-18 04:10:58-08,3.4,26.7
201412172038,2014-12-17 11:38:15-08,3.4,7.72
201412192068,2014-12-19 08:40:24-08,3.3,4.9
201412192044,2014-12-19 05:32:58-08,3,11.33
201412192043,2014-12-19 05:18:08-08,3.3,4.47
201412222039,2014-12-21 23:45:07-08,3.5,6.02
201412212052,2014-12-21 07:44:05-08,3.3,1.49
201412232005,2014-12-22 17:42:00-08,3.5,8.05
201412222045,2014-12-22 03:12:38-08,3,6.16
473581,2014-12-23 23:58:32-08,3.59,8.95
201412232034,2014-12-23 04:33:36-08,3.4,8.59
201412232057,2014-12-23 12:35:28-08,3,5.55
201412262034,2014-12-26 09:12:57-08,3,5
201412272027,2014-12-27 03:17:14-08,3,4.83
201412302048,2014-12-30 10:00:35-08,3.2,34.4
201412292033,2014-12-29 08:15:55-08,3.3,4.87
201402032035,2014-02-03 01:03:21-08,3.6,5
201402152057,2014-02-15 15:20:46-08,3.1,5
201402072058,2014-02-07 12:49:52-08,3,5
201411022047,2014-11-02 05:16:18-08,3.1,6.07
201412022065,2014-12-02 13:57:20-08,3,2.99
201412272025,2014-12-27 00:23:24-08,3.1,2.24
201401222029,2014-01-22 10:45:03-08,3.6,1.26
201404112051,2014-04-11 03:47:46-07,3.2,7.44
201406012012,2014-05-31 20:35:21-07,3.2,1.2
201407152019,2014-07-14 22:00:50-07,3,5
201410062028,2014-10-06 01:10:51-07,3.2,4.44
201410092005,2014-10-08 18:49:17-07,3,4
201410102066,2014-10-10 15:57:22-07,3.3,5
201410172057,2014-10-17 10:01:05-07,3.8,4.6
15526857,2014-07-14 23:07:14-07,3.02,10
37048183,2014-10-06 04:35:21-07,3.68,8.81
72323361,2014-10-08 21:49:57-07,3.05,7.21
72325816,2014-10-12 17:13:50-07,3.6,7.79
